"balise","direction","station","track","type","master"
13220,1,Hiekkaharju,4,DEPARTURE,false
13548,1,Hiekkaharju,4,DEPARTURE,false
11720,2,Huopalahti,1,ARRIVAL,true
11010,2,Huopalahti,1,ARRIVAL,false
10714,2,Huopalahti,1,ARRIVAL,false
11009,1,Huopalahti,1,DEPARTURE,true
11733,1,Huopalahti,1,DEPARTURE,false
11011,2,Huopalahti,2,ARRIVAL,true
11725,2,Huopalahti,2,ARRIVAL,false
11734,2,Huopalahti,2,ARRIVAL,false
11012,1,Huopalahti,2,DEPARTURE,true
10516,1,Huopalahti,2,DEPARTURE,false
10716,1,Huopalahti,2,DEPARTURE,false
10816,1,Huopalahti,2,DEPARTURE,false
11013,2,Huopalahti,3,ARRIVAL,true
11614,1,Huopalahti,3,ARRIVAL,false
11612,1,Huopalahti,3,ARRIVAL,false
11022,1,Huopalahti,3,DEPARTURE,true
10718,1,Huopalahti,3,DEPARTURE,false
10518,1,Huopalahti,3,DEPARTURE,false
11424,2,Huopalahti,4,ARRIVAL,true
10520,2,Huopalahti,4,ARRIVAL,false
11024,2,Huopalahti,4,ARRIVAL,false
11015,1,Huopalahti,4,DEPARTURE,true
11541,1,Huopalahti,4,DEPARTURE,false
11611,1,Huopalahti,4,DEPARTURE,false
10756,0,Ilmala asema,3,ARRIVAL,true
10129,2,Ilmala asema,3,ARRIVAL,false
10696,1,Ilmala asema,3,ARRIVAL,false
10026,1,Ilmala asema,3,DEPARTURE,true
10630,1,Ilmala asema,3,DEPARTURE,false
10329,2,Ilmala asema,3,DEPARTURE,false
10028,2,Ilmala asema,4,ARRIVAL,true
10622,2,Ilmala asema,4,ARRIVAL,false
10728,2,Ilmala asema,4,ARRIVAL,false
10131,1,Ilmala asema,4,DEPARTURE,true
10632,2,Ilmala asema,4,DEPARTURE,false
10698,2,Ilmala asema,4,DEPARTURE,false
11896,2,Jorvas,1,ARRIVAL,true
11101,1,Jorvas,1,ARRIVAL,false
11096,2,Jorvas,1,ARRIVAL,false
11096,1,Jorvas,1,DEPARTURE,true
11101,2,Jorvas,1,DEPARTURE,false
11869,2,Jorvas,1,DEPARTURE,false
11707,0,Jorvas,2,ARRIVAL,true
21894,0,Jorvas,2,ARRIVAL,false
11870,1,Jorvas,2,ARRIVAL,false
11098,1,Jorvas,2,DEPARTURE,true
11871,2,Jorvas,2,DEPARTURE,false
11103,2,Jorvas,2,DEPARTURE,false
11601,1,Kannelmäki,1,ARRIVAL,true
11020,2,Kannelmäki,1,ARRIVAL,false
11480,2,Kannelmäki,1,ARRIVAL,false
11301,1,Kannelmäki,1,DEPARTURE,true
11600,2,Kannelmäki,1,DEPARTURE,false
11300,2,Kannelmäki,1,DEPARTURE,false
11303,2,Kannelmäki,2,ARRIVAL,true
11602,1,Kannelmäki,2,ARRIVAL,false
11403,2,Kannelmäki,2,ARRIVAL,false
11603,2,Kannelmäki,2,DEPARTURE,true
11018,1,Kannelmäki,2,DEPARTURE,false
11800,1,Kannelmäki,2,DEPARTURE,false
11074,2,Kauklahti asema,1,ARRIVAL,true
11841,1,Kauklahti asema,1,ARRIVAL,false
11775,1,Kauklahti asema,1,DEPARTURE,true
11830,2,Kauklahti asema,1,DEPARTURE,false
11075,1,Kauklahti asema,1,DEPARTURE,false
11877,2,Kauklahti asema,2,ARRIVAL,true
11077,2,Kauklahti asema,2,ARRIVAL,false
11076,1,Kauklahti asema,2,DEPARTURE,true
11877,1,Kauklahti asema,2,DEPARTURE,true
11843,2,Kauklahti asema,2,DEPARTURE,false
11816,2,Kauniainen,1,ARRIVAL,true
11044,2,Kauniainen,1,ARRIVAL,false
11560,2,Kauniainen,1,ARRIVAL,false
11747,1,Kauniainen,1,DEPARTURE,true
11047,1,Kauniainen,1,DEPARTURE,false
11512,1,Kauniainen,1,DEPARTURE,false
11045,2,Kauniainen,2,ARRIVAL,true
11513,2,Kauniainen,2,ARRIVAL,false
11742,1,Kauniainen,2,DEPARTURE,true
11042,1,Kauniainen,2,DEPARTURE,false
11562,1,Kauniainen,2,DEPARTURE,false
11812,2,Kera,1,ARRIVAL,true
11815,1,Kera,1,ARRIVAL,false
11038,2,Kera,1,ARRIVAL,false
11741,1,Kera,1,DEPARTURE,true
11041,1,Kera,1,DEPARTURE,false
11814,1,Kera,2,ARRIVAL,true
11043,2,Kera,2,ARRIVAL,false
11740,1,Kera,2,DEPARTURE,true
11040,1,Kera,2,DEPARTURE,false
11817,2,Kera,2,DEPARTURE,false
18832,2,Kerava asema,5,ARRIVAL,true
18520,2,Kerava asema,5,ARRIVAL,false
18832,1,Kerava asema,5,DEPARTURE,true
18520,1,Kerava asema,5,DEPARTURE,false
18834,2,Kerava asema,6,ARRIVAL,true
18522,2,Kerava asema,6,ARRIVAL,false
18522,1,Kerava asema,6,DEPARTURE,false
18834,1,Kerava asema,6,DEPARTURE,false
11034,2,Kilo,1,ARRIVAL,true
11811,1,Kilo,1,ARRIVAL,false
11737,1,Kilo,1,DEPARTURE,true
11810,2,Kilo,1,DEPARTURE,false
11037,1,Kilo,1,DEPARTURE,false
11736,1,Kilo,2,ARRIVAL,true
11039,2,Kilo,2,ARRIVAL,false
11563,2,Kilo,2,ARRIVAL,false
11036,1,Kilo,2,DEPARTURE,true
11836,1,Kilo,2,DEPARTURE,false
11813,2,Kilo,2,DEPARTURE,false
11112,2,Kirkkonummi,1,ARRIVAL,true
9344,2,Kirkkonummi,1,ARRIVAL,false
11576,2,Kirkkonummi,1,ARRIVAL,false
11117,1,Kirkkonummi,1,DEPARTURE,true
11112,1,Kirkkonummi,1,DEPARTURE,true
11880,2,Kirkkonummi,1,DEPARTURE,false
11717,1,Kirkkonummi,1,DEPARTURE,false
11114,2,Kirkkonummi,2,ARRIVAL,true
11114,1,Kirkkonummi,2,DEPARTURE,true
11119,1,Kirkkonummi,2,DEPARTURE,true
11882,2,Kirkkonummi,2,DEPARTURE,false
11116,2,Kirkkonummi,3,ARRIVAL,true
11116,1,Kirkkonummi,3,DEPARTURE,true
9342,1,Kirkkonummi,3,DEPARTURE,false
11578,1,Kirkkonummi,3,DEPARTURE,false
61710,2,Kivistö,1,ARRIVAL,true
61010,2,Kivistö,1,ARRIVAL,false
61810,2,Kivistö,1,ARRIVAL,false
61813,2,Kivistö,1,DEPARTURE,true
61525,1,Kivistö,1,DEPARTURE,false
61713,0,Kivistö,1,DEPARTURE,false
61715,2,Kivistö,2,ARRIVAL,true
61527,2,Kivistö,2,ARRIVAL,false
61815,2,Kivistö,2,ARRIVAL,false
61812,1,Kivistö,2,DEPARTURE,true
61012,1,Kivistö,2,DEPARTURE,false
11818,2,Koivuhovi,1,ARRIVAL,true
11050,2,Koivuhovi,1,ARRIVAL,false
11053,1,Koivuhovi,1,ARRIVAL,false
11564,2,Koivuhovi,1,DEPARTURE,true
11054,2,Koivuhovi,1,DEPARTURE,false
11566,1,Koivuhovi,2,ARRIVAL,true
11056,1,Koivuhovi,2,ARRIVAL,false
11752,1,Koivuhovi,2,DEPARTURE,true
11055,2,Koivuhovi,2,DEPARTURE,false
13871,1,Koivukylä,3,ARRIVAL,true
13786,2,Koivukylä,3,ARRIVAL,false
13239,1,Koivukylä,3,DEPARTURE,true
13242,2,Koivukylä,3,DEPARTURE,false
13877,2,Koivukylä,4,ARRIVAL,true
13244,1,Koivukylä,4,ARRIVAL,false
13241,2,Koivukylä,4,ARRIVAL,false
13876,1,Koivukylä,4,DEPARTURE,true
13836,1,Koivukylä,4,DEPARTURE,false
19312,2,Korso,3,ARRIVAL,true
19012,2,Korso,3,ARRIVAL,false
19321,1,Korso,3,DEPARTURE,true
19521,1,Korso,3,DEPARTURE,false
19323,2,Korso,4,ARRIVAL,true
19523,2,Korso,4,ARRIVAL,false
19314,1,Korso,4,DEPARTURE,true
19014,1,Korso,4,DEPARTURE,false
13004,2,Käpylä,3,ARRIVAL,true
10344,2,Käpylä,3,ARRIVAL,false
13705,1,Käpylä,3,DEPARTURE,true
9577,1,Käpylä,3,DEPARTURE,false
13017,1,Käpylä,3,DEPARTURE,false
13319,2,Käpylä,4,ARRIVAL,true
13019,2,Käpylä,4,ARRIVAL,false
9467,2,Käpylä,4,ARRIVAL,false
13006,1,Käpylä,4,DEPARTURE,true
10346,1,Käpylä,4,DEPARTURE,false
61746,2,Leinelä,1,ARRIVAL,true
61046,2,Leinelä,1,ARRIVAL,false
61049,1,Leinelä,1,DEPARTURE,true
61509,1,Leinelä,1,DEPARTURE,false
61051,2,Leinelä,2,ARRIVAL,true
61511,2,Leinelä,2,ARRIVAL,false
61048,1,Leinelä,2,DEPARTURE,true
61744,1,Leinelä,2,DEPARTURE,false
61734,2,Lentoasema,1,ARRIVAL,true
61834,2,Lentoasema,1,ARRIVAL,false
61034,2,Lentoasema,1,ARRIVAL,false
61737,1,Lentoasema,1,DEPARTURE,true
61037,1,Lentoasema,1,DEPARTURE,false
61837,1,Lentoasema,1,DEPARTURE,false
61739,2,Lentoasema,2,ARRIVAL,true
61839,2,Lentoasema,2,ARRIVAL,false
61039,2,Lentoasema,2,ARRIVAL,false
61736,1,Lentoasema,2,DEPARTURE,true
61836,1,Lentoasema,2,DEPARTURE,false
61036,1,Lentoasema,2,DEPARTURE,false
11774,2,Leppävaara,1,ARRIVAL,true
11138,2,Leppävaara,1,ARRIVAL,false
11787,1,Leppävaara,1,DEPARTURE,true
11127,1,Leppävaara,1,DEPARTURE,false
11784,2,Leppävaara,2,ARRIVAL,true
11129,2,Leppävaara,2,ARRIVAL,false
11140,1,Leppävaara,2,DEPARTURE,true
11808,1,Leppävaara,2,DEPARTURE,false
11142,1,Leppävaara,3,DEPARTURE,true
11628,1,Leppävaara,3,DEPARTURE,false
11631,1,Leppävaara,4,ARRIVAL,true
11779,2,Leppävaara,4,ARRIVAL,true
11769,2,Leppävaara,4,ARRIVAL,false
11631,2,Leppävaara,4,DEPARTURE,true
11133,1,Leppävaara,4,DEPARTURE,true
11627,1,Leppävaara,4,DEPARTURE,false
11630,1,Leppävaara,4,DEPARTURE,false
11144,1,Leppävaara,4,DEPARTURE,false
11408,2,Louhela,1,ARRIVAL,true
11308,2,Louhela,1,ARRIVAL,false
11437,1,Louhela,1,DEPARTURE,true
11313,1,Louhela,1,DEPARTURE,false
11417,2,Louhela,2,ARRIVAL,true
11315,2,Louhela,2,ARRIVAL,false
11430,1,Louhela,2,DEPARTURE,true
11310,1,Louhela,2,DEPARTURE,false
13112,2,Malmi,3,ARRIVAL,true
13726,2,Malmi,3,ARRIVAL,false
13735,1,Malmi,3,DEPARTURE,true
13121,1,Malmi,3,DEPARTURE,false
13737,2,Malmi,4,ARRIVAL,true
13123,2,Malmi,4,ARRIVAL,false
13806,1,Malmi,4,DEPARTURE,true
13728,1,Malmi,4,DEPARTURE,false
11605,1,Malminkartano,1,ARRIVAL,true
11400,2,Malminkartano,1,ARRIVAL,false
11429,1,Malminkartano,1,DEPARTURE,true
11304,2,Malminkartano,1,DEPARTURE,false
11305,1,Malminkartano,1,DEPARTURE,false
11407,2,Malminkartano,2,ARRIVAL,true
11307,2,Malminkartano,2,ARRIVAL,false
11409,2,Malminkartano,2,ARRIVAL,false
11402,1,Malminkartano,2,DEPARTURE,true
11607,2,Malminkartano,2,DEPARTURE,false
11414,2,Martinlaakso,1,ARRIVAL,true
11312,2,Martinlaakso,1,ARRIVAL,false
11453,1,Martinlaakso,1,DEPARTURE,true
11412,2,Martinlaakso,1,DEPARTURE,false
11317,1,Martinlaakso,1,DEPARTURE,false
11419,2,Martinlaakso,2,ARRIVAL,true
11319,2,Martinlaakso,2,ARRIVAL,false
11432,1,Martinlaakso,2,DEPARTURE,true
11314,1,Martinlaakso,2,DEPARTURE,false
11093,1,Masala,1,ARRIVAL,true
11860,0,Masala,1,ARRIVAL,false
11797,1,Masala,1,DEPARTURE,true
11092,2,Masala,1,DEPARTURE,false
11865,1,Masala,1,DEPARTURE,false
11094,1,Masala,2,ARRIVAL,true
11867,2,Masala,2,ARRIVAL,false
11790,1,Masala,2,DEPARTURE,true
11095,2,Masala,2,DEPARTURE,false
11862,1,Masala,2,DEPARTURE,false
11404,2,Myyrmäki,1,ARRIVAL,true
11451,1,Myyrmäki,1,DEPARTURE,true
11309,1,Myyrmäki,1,DEPARTURE,false
11411,2,Myyrmäki,2,ARRIVAL,true
11311,2,Myyrmäki,2,ARRIVAL,false
11406,1,Myyrmäki,2,DEPARTURE,true
11606,1,Myyrmäki,2,DEPARTURE,false
11766,2,Mäkkylä,3,ARRIVAL,true
11033,2,Mäkkylä,3,ARRIVAL,false
11758,1,Mäkkylä,3,DEPARTURE,true
11134,1,Mäkkylä,3,DEPARTURE,false
11754,2,Mäkkylä,4,ARRIVAL,true
11136,2,Mäkkylä,4,ARRIVAL,false
11765,1,Mäkkylä,4,DEPARTURE,true
11035,1,Mäkkylä,4,DEPARTURE,false
11626,2,Mäkkylä,4,DEPARTURE,false
13314,2,Oulunkylä,3,ARRIVAL,true
13504,2,Oulunkylä,3,ARRIVAL,false
13014,2,Oulunkylä,3,ARRIVAL,false
13711,1,Oulunkylä,3,DEPARTURE,true
13508,2,Oulunkylä,3,DEPARTURE,false
13027,1,Oulunkylä,3,DEPARTURE,false
13713,2,Oulunkylä,4,ARRIVAL,true
13029,2,Oulunkylä,4,ARRIVAL,false
13704,1,Oulunkylä,4,DEPARTURE,true
13506,1,Oulunkylä,4,DEPARTURE,false
13016,1,Oulunkylä,4,DEPARTURE,false
10303,2,Pasila asema,1,ARRIVAL,true
10613,2,Pasila asema,1,ARRIVAL,false
10103,2,Pasila asema,1,ARRIVAL,false
10030,1,Pasila asema,1,DEPARTURE,true
10528,1,Pasila asema,1,DEPARTURE,false
10032,2,Pasila asema,2,ARRIVAL,true
10530,2,Pasila asema,2,ARRIVAL,false
10177,1,Pasila asema,2,ARRIVAL,false
10405,1,Pasila asema,2,DEPARTURE,true
10615,1,Pasila asema,2,DEPARTURE,false
10105,1,Pasila asema,2,DEPARTURE,false
10846,2,Pasila asema,8,ARRIVAL,true
10046,2,Pasila asema,8,ARRIVAL,false
10542,2,Pasila asema,8,ARRIVAL,false
10319,1,Pasila asema,8,DEPARTURE,true
10607,1,Pasila asema,8,DEPARTURE,false
10119,1,Pasila asema,8,DEPARTURE,false
10421,1,Pasila asema,9,ARRIVAL,true
10121,2,Pasila asema,9,ARRIVAL,false
10609,2,Pasila asema,9,ARRIVAL,false
10048,1,Pasila asema,9,DEPARTURE,true
10544,1,Pasila asema,9,DEPARTURE,false
10587,2,Pasila asema,9,DEPARTURE,false
10423,2,Pasila asema,10,ARRIVAL,true
10123,2,Pasila asema,10,ARRIVAL,false
10611,2,Pasila asema,10,ARRIVAL,false
10050,1,Pasila asema,10,DEPARTURE,true
10380,1,Pasila asema,10,DEPARTURE,false
10546,1,Pasila asema,10,DEPARTURE,false
10761,1,Pasila asema,11,ARRIVAL,true
10870,2,Pasila asema,11,ARRIVAL,false
10861,1,Pasila asema,11,DEPARTURE,true
